ID,PerformanceRatings,SalaryIncrease,EquityIncrease,TotalCompIncrease,CompaRatioBefore,CompaRatioAfter
ID83,3,0.038,0,0.038,0.928,0.964
ID484,4,0.075,0.222,0.131,0.921,0.99
ID362,5,0.05,0.347,0.137,0.947,0.995
ID258,2,0,0,0,1.066,1.066
ID116,3,0.057,0,0.057,1.003,1.061
ID899,5,0.058,0.202,0.109,0.987,1.044
ID59,3,0.066,0,0.066,0.858,0.914
ID588,5,0.081,0,0.081,0.916,0.99
ID104,3,0.055,0,0.055,1.02,1.076
ID918,5,0.066,0.16,0.105,1.109,1.182
ID115,2,0,0,0,0.835,0.835
ID189,2,0,0,0,1.084,1.084
ID99,4,0.066,0.188,0.113,0.987,1.052
ID521,3,0.033,0.228,0.09,1.039,1.073
ID33,3,0,0.284,0.071,0.944,0.944
ID964,2,0,0.081,0.02,0.807,0.807
ID991,5,0.071,0.331,0.154,1.066,1.142
ID337,5,0.082,0.164,0.123,1.133,1.225
ID27,3,0.045,0.114,0.073,1.2,1.253
ID428,3,0.042,0.103,0.068,1.101,1.147
ID505,3,0.054,0,0.054,1.085,1.144
ID757,3,0,0,0,1.002,1.002
ID765,1,0,0,0,0.919,0.919
ID563,5,0.077,0.207,0.128,0.844,0.909
ID204,3,0.054,0.158,0.093,1.084,1.143
ID80,3,0.068,0.045,0.079,1.066,1.138
ID852,3,0.049,0,0.049,0.917,0.962
ID502,5,0.101,0.228,0.158,0.808,0.89
ID357,3,0.059,0.273,0.127,1.1,1.165
ID412,3,0.05,0.154,0.089,1.024,1.075
ID242,3,0.063,0.211,0.116,0.981,1.043
ID331,3,0.058,0.115,0.087,0.924,0.977
ID594,3,0.058,0.197,0.107,0.813,0.861
ID483,5,0.087,0.482,0.208,1.041,1.131
ID472,3,0.026,0.205,0.077,1.2,1.231
ID704,3,0.049,0,0.049,1.115,1.169
ID501,3,0.051,0.399,0.151,1.18,1.24
ID378,3,0.057,0.228,0.114,0.913,0.965
ID515,3,0.043,0.417,0.148,1.2,1.252
ID414,4,0.097,0.121,0.127,0.956,1.048
ID78,2,0,0,0,0.908,0.908
ID487,2,0,0,0,0.93,0.93
ID253,3,0.053,0.354,0.141,0.958,1.009
ID329,1,0,0,0,1.137,1.137
ID403,3,0.061,0,0.061,0.788,0.836
ID647,4,0.058,0.315,0.136,0.972,1.028
ID326,4,0.076,0.1,0.101,1.158,1.246
ID931,5,0.065,0.464,0.181,0.968,1.031
