ID,PerformanceRatings,Engagement,Rewards,Accomplishment,ManagerRelations,Goals,PeerSupport
ID83,3,9.5,3.2,3,9,2.6,9
ID484,4,8,7.7,6.6,6.6,8,7.8
ID362,5,10,8.7,7.2,7.1,2.5,9.6
ID258,2,4.6,4.2,10,7.8,8.5,5.3
ID116,3,7.8,7.5,1.8,7.6,4.7,10
ID899,5,8.6,8.6,9.8,9.3,2,9.5
ID59,3,7.2,5.2,4.7,6.7,5.9,10
ID588,5,7.2,1.2,9.2,10,4.2,9.2
ID104,3,1.2,6.7,8.5,6.5,4.6,6.5
ID918,5,10,5.8,7.5,2.1,7.3,10
ID115,2,4.7,9.7,5.2,5.6,6.1,6.4
ID189,2,8.7,2.3,6.2,7.1,1.3,4
ID99,4,10,10,6.8,7.1,7.1,8.1
ID521,3,3.2,6.9,4.5,6,4.3,10
ID33,3,8.7,7.5,10,4,5,10
ID964,2,4.5,10,4.9,7.6,8,6.2
ID991,5,8.9,10,3.8,7,9.2,9.2
ID337,5,7.9,6.5,9,4.9,6,3.9
ID27,3,5.3,8.9,6.1,7.8,3.8,7
ID428,3,6.7,6.4,5.7,6,7.7,6.6
ID505,3,10,10,9,9.2,3.1,9.2
ID757,3,8.9,5.7,9.4,10,5.4,1.5
ID765,1,3.8,3.4,5.4,5.5,6.5,6
ID563,5,8.7,10,9.4,8.4,4.9,9.8
ID204,3,7.5,5.4,7.6,10,7.3,10
ID80,3,6.7,3.8,5.9,5.7,9.4,10
ID852,3,5.6,5.3,6.2,7.1,2,6.3
ID502,5,10,6,10,10,2.1,10
ID357,3,8.5,10,7.2,4.6,5.8,10
ID412,3,9,5.1,3.1,7.2,7.9,6.2
ID242,3,5.1,9.7,8.5,8.5,10,8.9
ID331,3,10,5.7,7.6,3.9,9.3,5.4
ID594,3,5.3,10,5.8,4.5,7.7,2.7
ID483,5,10,6.9,6.4,6,5.3,10
ID472,3,9.8,3.6,6.6,9.8,9.7,5.4
ID704,3,3,9.1,2.1,9.3,6.2,10
ID501,3,8.3,5.8,10,10,0.4,6.6
ID378,3,9,1.9,7.4,5.3,10,7.1
ID515,3,7.5,6.5,7.1,8.2,10,10
ID414,4,10,7,10,5.5,7.2,9.1
ID78,2,10,4.6,4,10,7.7,10
ID487,2,7.6,5.3,8.8,5.4,10,10
ID253,3,6.4,10,5.8,9.7,3.9,8.8
ID329,1,10,8.3,3,9.1,8.2,9.6
ID403,3,7.2,6.7,7.1,4.4,8.8,7.5
ID647,4,6.4,6.7,8,3.7,6,10
ID326,4,8.1,8.5,10,8.3,10,7.9
ID931,5,9.2,9,10,7.4,8.7,9.4
ID941,3,10,3.6,4.7,7,7.2,6.6
ID82,4,6.7,5.8,8.7,8.2,6.5,7.2
ID544,3,0.5,2.5,8.2,6.4,8.2,8.3
ID309,3,7.1,1.6,5.2,10,5.3,3.5
ID355,5,4.6,5.7,10,5.5,7.5,5.4
ID307,3,9.4,10,1.8,5.8,7.8,9.3
ID816,3,7.7,7.8,6.6,7.8,9.5,10
ID550,3,9.6,1.3,9.1,6.8,3.3,5.9
ID598,3,4.6,2.8,10,1.7,6.7,5.7
ID77,3,6.3,2,6.4,9.4,2.5,6.1
ID489,5,4.3,7.8,7.8,7.8,2.7,10
ID706,5,10,5.4,10,10,5.8,8.9
ID659,3,6.7,10,9.4,10,8.1,4.5
ID714,4,10,9.1,7.6,4.2,5.9,10
ID759,3,10,3.8,3.1,9.2,10,9.8
ID807,3,8.6,10,10,0.9,5,10
ID400,2,5.3,7.6,9.8,5.6,6.9,6.8
ID590,4,3.2,10,7.9,7,6,6.1
ID473,2,2.3,6.1,2.3,7.4,5.8,7.8
ID549,2,2.5,7.9,10,8.8,8.3,3.3
ID848,4,5.6,8.2,7.9,6.2,9.4,7.8
ID279,3,8.9,3.4,8.5,3.6,7.5,8.1
ID821,3,7,8,9.7,10,8.3,7.3
ID884,3,8.5,6.2,4.6,6.5,8.3,6.8
ID648,3,10,9.1,6.7,9.7,3.2,8.1
ID291,4,3.6,10,6.4,6.6,7.6,10
ID896,3,4.5,3.9,6.3,9.2,4.9,9.8
ID624,3,9.7,10,8.7,9.3,8.4,6
ID686,5,9.8,10,10,5.8,6.1,6.8
ID712,4,5.1,9.7,9.9,5.3,6.1,10
ID40,3,10,4.7,4.8,2.8,7.5,4.1
ID268,3,7.3,4.8,3.4,5.7,10,8.4
ID954,5,2.6,8.5,10,10,6.6,4.7
ID196,3,9.2,6.3,6.5,3.6,5.5,10
ID874,3,7.3,3.7,6.7,6.1,7.4,8.9
ID669,3,9.1,8.5,10,5.2,3.3,10
ID151,3,5.5,3.8,8.5,1.3,3.2,8.8
ID976,3,5.5,7.5,10,2.5,6,7
ID475,3,5.4,8,8.6,10,7.8,8.7
ID38,4,10,6.9,10,6,8.2,10
ID91,4,10,10,10,3.6,3.4,3.7
ID113,3,10,4.7,1.2,9.4,8.7,10
ID138,4,7.3,5.1,8.9,6.5,3.3,6.9
ID760,4,7.4,10,5.3,10,6,8
ID383,3,10,4.1,5.2,7.4,7.9,7.8
ID920,3,6.1,5.6,5.5,7.9,2.2,9.2
ID125,2,9.3,3.8,4.6,8,10,8.2
ID310,2,9.8,9.3,9.9,9.3,4.9,8.1
ID801,3,10,3,10,8.4,4.5,10
ID713,4,7.9,10,7,1.9,5.6,10
ID638,5,3.4,8.5,10,9.1,0.9,7
ID708,5,9.2,7.8,10,7.3,8.7,6.2
ID351,3,5.5,2.9,5.3,7.1,6.6,7.3
ID813,3,6.8,6.8,10,2.9,3.7,10
ID4,3,10,3.2,10,8.7,6.8,10
ID845,5,10,5.1,10,9.1,10,7
ID569,5,3.7,7,5.9,8.7,2.2,9.1
ID802,2,10,9.6,5.2,5.4,4.9,8.9
ID251,3,7.2,3.3,6.6,8.3,6.7,8.7
ID729,3,7.4,8.4,5.1,4.3,9.5,7
ID168,5,9.1,6.4,6.2,7.5,7.4,8.8
ID304,1,7.1,6.8,8.8,4.4,5.6,9.4
ID779,3,4.3,3.9,7.4,4.8,6.4,7.2
ID317,3,6.5,4.9,4.6,2.8,6.2,10
ID916,3,7.6,8.8,6.9,7.8,10,8.1
ID955,3,9.9,10,5.2,7.5,7.4,4.8
ID593,2,4.8,8.3,6.9,10,5.6,7.7
ID970,5,8.3,7.3,9.6,4.2,6.3,10
ID627,2,4.6,6.1,10,5.8,8.2,6
ID385,3,8,9.3,4.9,3.1,8.3,10
ID697,4,7.3,3.3,6.6,5.6,7.2,5.1
ID381,3,7,5.8,4.6,6.1,0.8,4.5
ID178,3,4.4,5.1,8.3,5.2,7.5,7.5
ID961,4,7.5,7.6,9.3,0.2,9.1,9.2
ID152,2,7.1,8.1,5.7,7.7,10,7.3
